Time from start of file(), Time from initialisation(), Time from start of region(), Time(hh:mm:ss), Time(s), Seconds from midnight Sunday(), Latitude(deg), Longitude(deg), Altitude(m), Distance horizontal(m), Velocity forward(m/s), Velocity lateral(m/s), Velocity down(m/s), Speed horizontal(m/s), Number of GPS satellites used(), GPS position mode(), GPS velocity mode(), GPS dual antenna attitude mode(), Heading(deg), Pitch(deg), Roll(deg), Slip angle(deg), Angular rate forward(deg/s), Angular rate lateral(), Angular rate down(deg/s), Angular rate Xv(deg/s), Angular rate Yv(deg/s), Angular rate Zv(deg/s), Acceleration forward(m/s²), Acceleration lateral(m/s²), Acceleration down(m/s²), Acceleration Xv(m/s²), Acceleration Yv(m/s²), Acceleration Zv(m/s²)
0.008,0,0, 2021/07/20 18:25:36.008 PM,1310840736,239136.008,37.42900374,-122.1843971,40.811,0,0,0,0.22,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.06,-1.67,-0.4,0,0,0,-10.103,-0.194,0.28
0.02,0,0.012, 2021/07/20 18:25:36.020 PM,1310840736,239136.02,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.8,-1.32,-0.17,0,0,0,-9.779,-0.305,0.352
0.028,0,0.02, 2021/07/20 18:25:36.028 PM,1310840736,239136.028,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.74,-1.25,0.2,0,0,0,-9.846,-0.135,0.249
0.04,0,0.032, 2021/07/20 18:25:36.040 PM,1310840736,239136.04,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.71,-1.55,0.43,0,0,0,-9.538,-0.308,0.481
0.048,0,0.04, 2021/07/20 18:25:36.048 PM,1310840736,239136.048,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.78,-1.02,0.67,0,0,0,-9.603,-0.171,0.279
0.06,0,0.052, 2021/07/20 18:25:36.060 PM,1310840736,239136.06,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.17,-0.57,0.45,0,0,0,-9.419,-0.253,0.427
0.068,0,0.06, 2021/07/20 18:25:36.068 PM,1310840736,239136.068,37.42898493,-122.1843995,40.848,0,0,0,-0.51,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.67,-0.33,0.21,0,0,0,-9.495,-0.13,0.532
0.08,0,0.072, 2021/07/20 18:25:36.080 PM,1310840736,239136.08,37.42897738,-122.1844003,40.938,0,0,0,-0.15,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.75,-0.62,-0.42,0,0,0,-9.404,-0.326,0.445
0.088,0,0.08, 2021/07/20 18:25:36.088 PM,1310840736,239136.088,37.42897738,-122.1844003,40.938,0,0,0,-0.15,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-1.32,-0.61,-0.13,0,0,0,-9.379,-0.134,0.427
0.1,0,0.092, 2021/07/20 18:25:36.100 PM,1310840736,239136.1,37.42897738,-122.1844003,40.938,0,0,0,-0.15,0,7, SPS (3), Doppler (2), None (),0,0,0,0,0,0,0,-0.77,-0.09,-0.84,0,0,0,-9.508,-0.067,0.223
