%time,field.iTOW,field.fTOW,field.week,field.gpsFix,field.flags,field.ecefX,field.ecefY,field.ecefZ,field.pAcc,field.ecefVX,field.ecefVY,field.ecefVZ,field.sAcc,field.pDOP,field.reserved1,field.numSV,field.reserved2
1626822612403934177,256230000,153452,2167,3,223,-270125158,-429208695,385509891,106,5,0,4,1,145,2,11,91940
1626822612635442783,256230250,153428,2167,3,223,-270125155,-429208695,385509891,106,5,0,4,1,159,2,10,91940
1626822612882491292,256230500,153404,2167,3,223,-270125152,-429208695,385509891,106,5,0,4,1,159,2,10,91940
1626822613127672889,256230750,153380,2167,3,223,-270125150,-429208695,385509891,106,5,0,4,1,159,2,10,91940
1626822613379341378,256231000,153357,2167,3,223,-270125147,-429208694,385509891,107,5,0,4,1,159,2,10,91940
1626822613640009232,256231250,153333,2167,3,223,-270125144,-429208693,385509890,107,5,0,4,1,159,2,10,91940
1626822613879241939,256231500,153309,2167,3,223,-270125140,-429208692,385509890,107,5,0,4,1,159,2,10,91940
1626822614133109761,256231750,153285,2167,3,223,-270125137,-429208692,385509889,107,5,0,4,1,159,2,10,91940
1626822614376153129,256232000,153261,2167,3,223,-270125134,-429208692,385509889,107,5,0,4,1,202,2,9,91940
1626822614630144013,256232250,153237,2167,3,223,-270125131,-429208691,385509888,107,5,0,4,1,188,2,10,91940
1626822614872437151,256232500,153214,2167,3,223,-270125127,-429208690,385509887,107,5,0,4,1,188,2,10,91940
1626822615124401240,256232750,153190,2167,3,223,-270125123,-429208689,385509886,107,5,0,4,1,188,2,10,91940
1626822615373637451,256233000,153166,2167,3,223,-270125120,-429208688,385509886,107,5,0,4,1,188,2,10,91940
1626822615631134782,256233250,153142,2167,3,223,-270125117,-429208688,385509885,108,5,0,4,1,188,2,10,91940
1626822615869599536,256233500,153118,2167,3,223,-270125114,-429208687,385509884,108,5,0,4,1,188,2,10,91940
1626822616127747588,256233750,153094,2167,3,223,-270125111,-429208686,385509884,108,5,0,4,1,188,2,10,91940
1626822616372583515,256234000,153070,2167,3,223,-270125108,-429208685,385509883,108,6,0,4,1,188,2,10,91940
1626822616630710649,256234250,153046,2167,3,223,-270125105,-429208685,385509881,108,6,0,4,1,188,2,10,91940
1626822616872918215,256234500,153022,2167,3,223,-270125103,-429208684,385509881,108,6,0,4,1,188,2,10,91940
1626822617127020862,256234750,152998,2167,3,223,-270125100,-429208684,385509880,108,6,0,4,1,188,2,10,91940
1626822617373191428,256235000,152974,2167,3,223,-270125098,-429208682,385509879,108,6,0,4,1,188,2,10,91940
